Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,14:40:28.839.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
1,Receive,14:40:28.839.0,0x00000024,Data,Standard,0x08,04 90 00 00 04 90 00 00 
2,Receive,14:40:28.840.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
3,Receive,14:40:28.841.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
4,Send,14:40:28.849.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5,Receive,14:40:28.850.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
6,Receive,14:40:28.852.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 90 00 00 
7,Receive,14:40:28.852.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,14:40:28.853.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
9,Receive,14:40:28.861.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
10,Receive,14:40:28.861.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
11,Receive,14:40:28.861.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Send,14:40:28.861.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
13,Receive,14:40:28.862.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
14,Receive,14:40:28.870.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
15,Receive,14:40:28.870.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
16,Receive,14:40:28.871.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
17,Receive,14:40:28.872.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
18,Send,14:40:28.873.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
19,Receive,14:40:28.879.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
20,Receive,14:40:28.879.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
21,Receive,14:40:28.881.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
22,Receive,14:40:28.881.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
23,Send,14:40:28.883.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
24,Receive,14:40:28.890.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
25,Receive,14:40:28.890.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
26,Receive,14:40:28.891.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
27,Receive,14:40:28.892.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
28,Send,14:40:28.895.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
29,Receive,14:40:28.899.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
30,Receive,14:40:28.899.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
31,Receive,14:40:28.901.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
32,Receive,14:40:28.902.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 0a 00 00 
33,Receive,14:40:28.903.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
34,Receive,14:40:28.904.0,0x00000026,Data,Standard,0x08,4f 4f 21 45 45 45 45 46 
35,Receive,14:40:28.905.0,0x00000027,Data,Standard,0x08,05 60 00 42 f0 03 99 e0 
36,Receive,14:40:28.906.0,0x00000028,Data,Standard,0x08,01 42 01 42 0e 10 00 00 
37,Receive,14:40:28.907.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
38,Receive,14:40:28.907.0,0x00000029,Data,Standard,0x08,0c 99 0c 9a 0c 99 0c 99 
39,Send,14:40:28.908.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
40,Receive,14:40:28.909.0,0x0000002a,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 9a 
41,Receive,14:40:28.909.0,0x0000002b,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
42,Receive,14:40:28.911.0,0x0000002c,Data,Standard,0x08,0c 99 0c 9a 0c 9a 0c 98 
43,Receive,14:40:28.911.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
44,Receive,14:40:28.913.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
45,Receive,14:40:28.913.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
46,Receive,14:40:28.914.0,0x00000052,Data,Standard,0x08,01 86 a0 43 00 00 00 04 
47,Receive,14:40:28.916.0,0x00000053,Data,Standard,0x08,00 00 04 00 00 00 00 00 
48,Receive,14:40:28.917.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
49,Receive,14:40:28.918.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
50,Receive,14:40:28.920.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
51,Receive,14:40:28.920.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
52,Send,14:40:28.920.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
53,Receive,14:40:28.921.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 01 00 00 
54,Receive,14:40:28.922.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
55,Receive,14:40:28.922.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
56,Receive,14:40:28.923.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
57,Receive,14:40:28.924.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 02 00 00 
58,Receive,14:40:28.929.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
59,Receive,14:40:28.929.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
60,Send,14:40:28.930.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
61,Receive,14:40:28.931.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
62,Receive,14:40:28.931.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 03 00 00 
63,Receive,14:40:28.940.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
64,Receive,14:40:28.940.0,0x00000024,Data,Standard,0x08,04 91 00 00 04 91 00 00 
65,Receive,14:40:28.941.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
66,Receive,14:40:28.942.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
67,Send,14:40:28.942.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
68,Receive,14:40:28.950.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
69,Receive,14:40:28.951.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 91 00 00 
70,Receive,14:40:28.952.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
71,Receive,14:40:28.953.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
72,Send,14:40:28.954.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
73,Receive,14:40:28.960.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
74,Receive,14:40:28.960.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
75,Receive,14:40:28.962.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
76,Receive,14:40:28.962.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
77,Send,14:40:28.966.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
78,Receive,14:40:28.969.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
79,Receive,14:40:28.970.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
80,Receive,14:40:28.971.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
81,Receive,14:40:28.971.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
82,Send,14:40:28.978.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
83,Receive,14:40:28.980.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
84,Receive,14:40:28.980.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
85,Receive,14:40:28.980.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
86,Receive,14:40:28.982.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
87,Receive,14:40:28.989.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
88,Receive,14:40:28.989.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
89,Send,14:40:28.989.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
90,Receive,14:40:28.991.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
91,Receive,14:40:28.993.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
92,Receive,14:40:29.000.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
93,Receive,14:40:29.000.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
94,Receive,14:40:29.001.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
95,Send,14:40:29.002.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
96,Receive,14:40:29.003.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 0a 00 00 
97,Receive,14:40:29.003.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
98,Receive,14:40:29.005.0,0x00000026,Data,Standard,0x08,4f 4f 21 45 45 45 45 46 
99,Receive,14:40:29.005.0,0x00000027,Data,Standard,0x08,05 60 00 42 f0 03 99 e0 
100,Receive,14:40:29.006.0,0x00000028,Data,Standard,0x08,01 42 01 42 08 10 00 00 
101,Receive,14:40:29.008.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
102,Receive,14:40:29.008.0,0x00000029,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 9a 
103,Receive,14:40:29.010.0,0x0000002a,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 9a 
104,Receive,14:40:29.010.0,0x0000002b,Data,Standard,0x08,0c 99 0c 99 0c 9a 0c 99 
105,Receive,14:40:29.011.0,0x0000002c,Data,Standard,0x08,0c 99 0c 99 0c 9a 0c 98 
106,Receive,14:40:29.012.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
107,Receive,14:40:29.013.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
108,Send,14:40:29.014.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
109,Receive,14:40:29.016.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
110,Receive,14:40:29.016.0,0x00000052,Data,Standard,0x08,01 86 a0 43 00 00 00 04 
111,Receive,14:40:29.016.0,0x00000053,Data,Standard,0x08,00 00 04 00 00 00 00 00 
112,Receive,14:40:29.016.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
113,Receive,14:40:29.018.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
114,Receive,14:40:29.020.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
115,Receive,14:40:29.020.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
116,Receive,14:40:29.020.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 01 00 00 
117,Receive,14:40:29.022.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
118,Receive,14:40:29.023.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
119,Receive,14:40:29.024.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
120,Send,14:40:29.025.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
121,Receive,14:40:29.027.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 02 00 00 
122,Receive,14:40:29.029.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
123,Receive,14:40:29.029.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
124,Receive,14:40:29.030.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
125,Receive,14:40:29.031.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 03 00 00 
126,Send,14:40:29.037.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
127,Receive,14:40:29.039.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
128,Receive,14:40:29.040.0,0x00000024,Data,Standard,0x08,04 92 00 00 04 92 00 00 
129,Receive,14:40:29.040.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
130,Receive,14:40:29.041.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
131,Send,14:40:29.047.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
132,Receive,14:40:29.050.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
133,Receive,14:40:29.051.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 92 00 00 
134,Receive,14:40:29.052.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
135,Receive,14:40:29.053.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
136,Receive,14:40:29.060.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
137,Receive,14:40:29.060.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
138,Send,14:40:29.060.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
139,Receive,14:40:29.061.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
140,Receive,14:40:29.061.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
141,Receive,14:40:29.070.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
142,Receive,14:40:29.070.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
143,Receive,14:40:29.070.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
144,Send,14:40:29.074.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
145,Receive,14:40:29.074.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
146,Receive,14:40:29.080.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
147,Receive,14:40:29.080.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
148,Receive,14:40:29.080.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
149,Receive,14:40:29.082.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
150,Send,14:40:29.085.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
151,Receive,14:40:29.089.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
152,Receive,14:40:29.089.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
153,Receive,14:40:29.092.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
154,Receive,14:40:29.092.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
155,Send,14:40:29.099.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
156,Receive,14:40:29.099.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
157,Receive,14:40:29.102.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
158,Receive,14:40:29.102.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
159,Receive,14:40:29.102.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 0a 00 00 
160,Receive,14:40:29.102.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
161,Receive,14:40:29.104.0,0x00000026,Data,Standard,0x08,4f 4f 21 45 45 45 45 46 
162,Receive,14:40:29.104.0,0x00000027,Data,Standard,0x08,05 60 00 42 f0 03 99 e0 
163,Receive,14:40:29.106.0,0x00000028,Data,Standard,0x08,01 42 01 42 04 10 00 00 
164,Receive,14:40:29.107.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
165,Receive,14:40:29.108.0,0x00000029,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 9a 
166,Receive,14:40:29.109.0,0x0000002a,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
167,Receive,14:40:29.109.0,0x0000002b,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
168,Send,14:40:29.110.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
169,Receive,14:40:29.111.0,0x0000002c,Data,Standard,0x08,0c 99 0c 99 0c 9a 0c 98 
170,Receive,14:40:29.111.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
171,Receive,14:40:29.113.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
172,Receive,14:40:29.113.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
173,Receive,14:40:29.115.0,0x00000052,Data,Standard,0x08,01 86 a0 43 00 00 00 04 
174,Receive,14:40:29.115.0,0x00000053,Data,Standard,0x08,00 00 04 00 00 00 00 00 
175,Receive,14:40:29.117.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
176,Receive,14:40:29.117.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
177,Receive,14:40:29.119.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
178,Receive,14:40:29.119.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
179,Receive,14:40:29.121.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 01 00 00 
180,Receive,14:40:29.121.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
181,Send,14:40:29.122.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
182,Receive,14:40:29.123.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
183,Receive,14:40:29.123.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
184,Receive,14:40:29.125.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 02 00 00 
185,Receive,14:40:29.129.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
186,Receive,14:40:29.129.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
187,Receive,14:40:29.131.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
188,Receive,14:40:29.131.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 03 00 00 
189,Send,14:40:29.134.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
190,Receive,14:40:29.149.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
191,Receive,14:40:29.149.0,0x00000024,Data,Standard,0x08,04 93 00 00 04 93 00 00 
192,Receive,14:40:29.149.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
193,Receive,14:40:29.149.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
194,Receive,14:40:29.149.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
195,Send,14:40:29.151.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
196,Receive,14:40:29.157.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 93 00 00 
197,Receive,14:40:29.157.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
198,Receive,14:40:29.157.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
199,Receive,14:40:29.161.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
200,Receive,14:40:29.161.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
201,Receive,14:40:29.161.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
202,Receive,14:40:29.161.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
203,Receive,14:40:29.170.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
204,Receive,14:40:29.170.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
205,Receive,14:40:29.170.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
206,Send,14:40:29.170.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
207,Receive,14:40:29.175.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
208,Receive,14:40:29.180.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
209,Receive,14:40:29.180.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
210,Receive,14:40:29.180.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
211,Receive,14:40:29.184.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
212,Send,14:40:29.184.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
213,Receive,14:40:29.189.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
214,Receive,14:40:29.189.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
215,Receive,14:40:29.191.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
216,Receive,14:40:29.191.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
217,Send,14:40:29.197.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
218,Receive,14:40:29.206.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
219,Receive,14:40:29.206.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
220,Receive,14:40:29.206.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
221,Receive,14:40:29.206.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 0a 00 00 
222,Receive,14:40:29.206.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
223,Receive,14:40:29.206.0,0x00000026,Data,Standard,0x08,4f 4f 21 45 45 45 45 46 
224,Receive,14:40:29.206.0,0x00000027,Data,Standard,0x08,05 60 00 42 f0 03 99 e0 
225,Receive,14:40:29.206.0,0x00000028,Data,Standard,0x08,01 42 01 42 0b 10 00 00 
226,Receive,14:40:29.206.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
227,Receive,14:40:29.209.0,0x00000029,Data,Standard,0x08,0c 99 0c 9a 0c 99 0c 9a 
228,Receive,14:40:29.209.0,0x0000002a,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
229,Receive,14:40:29.209.0,0x0000002b,Data,Standard,0x08,0c 99 0c 99 0c 9a 0c 99 
230,Send,14:40:29.209.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
231,Receive,14:40:29.212.0,0x0000002c,Data,Standard,0x08,0c 99 0c 9a 0c 99 0c 99 
232,Receive,14:40:29.212.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
233,Receive,14:40:29.212.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
234,Receive,14:40:29.214.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
235,Receive,14:40:29.214.0,0x00000052,Data,Standard,0x08,01 86 a0 43 00 00 00 04 
236,Receive,14:40:29.219.0,0x00000053,Data,Standard,0x08,00 00 04 00 00 00 00 00 
237,Receive,14:40:29.219.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
238,Receive,14:40:29.219.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
239,Receive,14:40:29.219.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
240,Receive,14:40:29.219.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
241,Receive,14:40:29.221.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 01 00 00 
242,Receive,14:40:29.221.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
243,Send,14:40:29.221.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
244,Receive,14:40:29.224.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
245,Receive,14:40:29.224.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
246,Receive,14:40:29.226.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 02 00 00 
247,Receive,14:40:29.230.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
248,Receive,14:40:29.230.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
249,Receive,14:40:29.230.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
250,Receive,14:40:29.233.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 03 00 00 
251,Send,14:40:29.234.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
252,Receive,14:40:29.240.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
253,Receive,14:40:29.240.0,0x00000024,Data,Standard,0x08,04 94 00 00 04 94 00 00 
254,Receive,14:40:29.240.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
255,Receive,14:40:29.242.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
256,Send,14:40:29.246.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
257,Receive,14:40:29.251.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
258,Receive,14:40:29.251.0,0x00000024,Data,Standard,0x08,04 95 00 00 04 94 00 00 
259,Receive,14:40:29.251.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
260,Receive,14:40:29.255.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
261,Send,14:40:29.258.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
262,Receive,14:40:29.259.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
263,Receive,14:40:29.261.0,0x00000024,Data,Standard,0x08,04 95 00 00 04 95 00 00 
264,Receive,14:40:29.261.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
265,Receive,14:40:29.261.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
266,Receive,14:40:29.269.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
267,Send,14:40:29.270.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
268,Receive,14:40:29.271.0,0x00000024,Data,Standard,0x08,04 95 00 00 04 95 00 00 
269,Receive,14:40:29.271.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
270,Receive,14:40:29.271.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
271,Receive,14:40:29.280.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
272,Receive,14:40:29.280.0,0x00000024,Data,Standard,0x08,04 95 00 00 04 95 00 00 
